Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
G13A	0.0225780734249698	0.00832691182053145	0	0.0737301248348664	0	0.230966003414059	0.0482924581862191	0.0180878289851954	0.0814577456461833	0	0.0568740610738776	0	0.0657958700826225	0.0896242548165977	0.0738154846590324	0.172962659470095	0.0079933677636696	0.00503683865576043	0.0339118432012405	0	0	0.0105464739650795	0	0.526397500255879	0.854108363288034
G14A	0.0125649150951333	0	0	0.0627552009987731	0	0.198705860068914	0.0546870812762245	0	0.0171395394297193	0	0.0723748203416018	0	0.045332044675931	0.0338668300306719	0	0.0610725709872728	0	0.034636104156937	0.00308295451039908	0.0612581085477084	0.00412187838254585	0.338402091498168	0	0.674762782133452	0.745223689005441
G16A	0.0122004425454315	0	0	0.120901380083909	0	0.0575616810532282	0.0766613988491252	0	0.0994986704781052	0	0.0280274055589314	0	0.0199252080322681	0.13202102979081	0.0177392273186089	0.288879837174452	0.00835227618644481	0.0110672710129023	0.0866006405722147	0	0.00433838213599426	0.0362251492075757	0	0.560086924434394	0.83786617229562
G18A	0.00697527384889973	0	0.00134224978638201	0.0273090846888682	0	0.116925598349063	0.0448634581402546	0	0.0207102286979156	0	0.0401051401091787	0	0.112368414462487	0.412643247206814	0	0.153267907228283	0.00340253912131674	0.00632043615689592	0.0490506742318951	0	0	0.00471574797174696	0	0.77643087973737	0.672738686827024
G19A	0.0211912122896665	0.00334398792789269	0	0.0421884709226108	0	0.210144411859579	0.0463059383111972	0	0.0206310065452849	0	0.062380480456402	0	0.171739994252357	0.091914627672709	0.023386992925954	0.124586852160612	0	0.00229665951740128	0.0745761867486828	0	0	0.105313178409651	0.002	0.353413567213217	0.938257415389655
G21A	0.0286482928120142	0	0	0	0	0.0641524732750125	0.0014564286501756	0.00393723605340153	0.0246361491716489	0	0.0326107371130516	0	0.0948983809831996	0.0649149966674441	0	0.0578739195293208	0	0	0	0.058709870056116	0	0.568161515688615	0	0.802226353640597	0.600511074349084
G22A	0.0258903855534714	0	0	0.0118138325751094	0	0.0808524780240202	0.0303875299683499	0	0.0281895427954429	0	0.0405075286000462	0	0.174299728745837	0.0819457702779762	0	0.0483171524866658	0	0.0129751826366359	0	0.0571616046797505	0	0.407659263656695	0	0.747566292005813	0.668284616096755
G24A	0.0408029891264159	0	0	0	0	0.092354794293006	0.0270071675974357	0	0.0162941067090547	0	0.0746242709296457	0	0.053397168968109	0.212937703585732	0.0075244565139619	0.108524741879534	0	0	0.0121399138962034	0.034930104428868	0	0.319462582072034	0	0.744240008410978	0.683462658801388
G25A	0.0407278714484478	0.00268195133176811	0	0.0154625005906411	0	0.206474423216828	0.0218165028927684	0.00621402034618548	0.0320002201804942	0	0.0771980107500156	0	0.0419912854195013	0.126147769368967	0.0152356040457681	0.240401876999359	0.00992605307273977	0	0.129576483310757	0.00246603031091767	0	0.0316793967148422	0	0.616611806071418	0.811362229985932
G29A	0.0370228730172854	0	0	0.0670929380462928	0	0.109867237600018	0.0260318411802138	0.00193703048052045	0.049877752259123	0	0.0401571995222784	0	0.0670763996708883	0.0406611066553073	0.0145435790935173	0.0890616752385793	0	0.00257421553699962	0.120580996546125	0.0321639225827846	0	0.301351232570067	0	0.756493145448808	0.690364910656827
